iter37000 - BLEU = 2.85, 41.6/11.6/4.0/1.4 (BP=0.395, ratio=0.518, hyp_len=35084, ref_len=67703)
iter38000 - BLEU = 1.66, 43.9/12.6/4.3/1.6 (BP=0.211, ratio=0.391, hyp_len=26493, ref_len=67703)
iter39000 - BLEU = 1.96, 43.3/12.2/4.2/1.5 (BP=0.257, ratio=0.424, hyp_len=28719, ref_len=67703)
iter40000 - BLEU = 2.37, 46.5/13.2/4.6/1.6 (BP=0.288, ratio=0.446, hyp_len=30173, ref_len=67703)
iter41000 - BLEU = 2.45, 44.6/12.9/4.4/1.6 (BP=0.308, ratio=0.459, hyp_len=31080, ref_len=67703)
iter42000 - BLEU = 1.79, 46.3/13.3/4.6/1.6 (BP=0.219, ratio=0.397, hyp_len=26902, ref_len=67703)
iter43000 - BLEU = 2.52, 46.8/13.2/4.5/1.5 (BP=0.312, ratio=0.462, hyp_len=31282, ref_len=67703)
iter44000 - BLEU = 2.33, 42.7/12.1/4.2/1.4 (BP=0.313, ratio=0.462, hyp_len=31311, ref_len=67703)
iter45000 - BLEU = 1.26, 45.3/12.7/4.3/1.6 (BP=0.160, ratio=0.353, hyp_len=23896, ref_len=67703)
iter46000 - BLEU = 2.39, 44.7/12.7/4.5/1.7 (BP=0.292, ratio=0.448, hyp_len=30363, ref_len=67703)
iter47000 - BLEU = 2.01, 45.1/12.6/4.2/1.4 (BP=0.264, ratio=0.429, hyp_len=29022, ref_len=67703)
iter48000 - BLEU = 1.82, 46.9/13.2/4.4/1.6 (BP=0.224, ratio=0.401, hyp_len=27134, ref_len=67703)
iter49000 - BLEU = 3.00, 41.8/11.5/3.8/1.4 (BP=0.425, ratio=0.539, hyp_len=36497, ref_len=67703)
iter50000 - BLEU = 2.69, 43.9/12.1/4.0/1.4 (BP=0.364, ratio=0.497, hyp_len=33672, ref_len=67703)
iter51000 - BLEU = 2.91, 45.5/12.8/4.4/1.5 (BP=0.369, ratio=0.501, hyp_len=33902, ref_len=67703)
iter52000 - BLEU = 2.64, 45.2/12.7/4.4/1.6 (BP=0.332, ratio=0.476, hyp_len=32197, ref_len=67703)
iter53000 - BLEU = 2.56, 45.8/12.9/4.5/1.7 (BP=0.311, ratio=0.461, hyp_len=31243, ref_len=67703)
iter54000 - BLEU = 2.65, 44.8/12.4/4.1/1.5 (BP=0.347, ratio=0.486, hyp_len=32903, ref_len=67703)
iter55000 - BLEU = 2.61, 43.3/11.8/4.0/1.4 (BP=0.358, ratio=0.493, hyp_len=33381, ref_len=67703)
iter56000 - BLEU = 2.49, 46.0/12.8/4.3/1.5 (BP=0.318, ratio=0.466, hyp_len=31530, ref_len=67703)
iter57000 - BLEU = 1.38, 45.9/12.9/4.5/1.6 (BP=0.172, ratio=0.362, hyp_len=24512, ref_len=67703)
iter58000 - BLEU = 2.70, 45.0/12.4/4.3/1.6 (BP=0.346, ratio=0.485, hyp_len=32853, ref_len=67703)
iter59000 - BLEU = 1.33, 46.0/12.9/4.4/1.5 (BP=0.167, ratio=0.359, hyp_len=24289, ref_len=67703)
iter60000 - BLEU = 2.25, 43.3/11.8/3.8/1.3 (BP=0.316, ratio=0.465, hyp_len=31451, ref_len=67703)
iter61000 - BLEU = 2.72, 44.9/12.6/4.2/1.5 (BP=0.352, ratio=0.489, hyp_len=33123, ref_len=67703)
iter62000 - BLEU = 1.69, 44.9/12.9/4.4/1.6 (BP=0.213, ratio=0.393, hyp_len=26575, ref_len=67703)
iter63000 - BLEU = 2.43, 44.5/12.5/4.3/1.5 (BP=0.313, ratio=0.463, hyp_len=31328, ref_len=67703)
iter64000 - BLEU = 1.99, 45.8/12.7/4.4/1.6 (BP=0.251, ratio=0.419, hyp_len=28401, ref_len=67703)
iter65000 - BLEU = 2.49, 44.7/12.0/4.1/1.4 (BP=0.332, ratio=0.476, hyp_len=32222, ref_len=67703)
iter66000 - BLEU = 2.42, 45.2/12.3/4.2/1.5 (BP=0.314, ratio=0.464, hyp_len=31385, ref_len=67703)
iter67000 - BLEU = 2.25, 45.8/12.9/4.3/1.6 (BP=0.281, ratio=0.441, hyp_len=29837, ref_len=67703)
iter68000 - BLEU = 2.31, 45.0/12.3/4.4/1.6 (BP=0.291, ratio=0.447, hyp_len=30277, ref_len=67703)
iter69000 - BLEU = 2.57, 43.0/11.7/4.0/1.4 (BP=0.353, ratio=0.490, hyp_len=33166, ref_len=67703)
iter70000 - BLEU = 1.92, 45.9/12.6/4.3/1.5 (BP=0.246, ratio=0.416, hyp_len=28165, ref_len=67703)
iter71000 - BLEU = 2.13, 44.7/12.0/4.0/1.4 (BP=0.285, ratio=0.443, hyp_len=30003, ref_len=67703)
iter72000 - BLEU = 2.24, 45.4/12.4/4.2/1.6 (BP=0.288, ratio=0.445, hyp_len=30160, ref_len=67703)
iter73000 - BLEU = 2.04, 45.1/12.4/4.3/1.6 (BP=0.260, ratio=0.426, hyp_len=28837, ref_len=67703)
iter74000 - BLEU = 2.23, 44.0/11.9/4.1/1.5 (BP=0.293, ratio=0.449, hyp_len=30397, ref_len=67703)
iter75000 - BLEU = 2.30, 43.9/11.7/3.8/1.3 (BP=0.321, ratio=0.468, hyp_len=31691, ref_len=67703)
iter76000 - BLEU = 2.31, 44.0/11.9/4.0/1.4 (BP=0.315, ratio=0.464, hyp_len=31399, ref_len=67703)
iter77000 - BLEU = 2.65, 43.3/11.7/3.9/1.4 (BP=0.365, ratio=0.498, hyp_len=33719, ref_len=67703)
iter78000 - BLEU = 2.51, 44.2/11.9/4.0/1.4 (BP=0.344, ratio=0.484, hyp_len=32745, ref_len=67703)
iter79000 - BLEU = 1.47, 43.4/11.2/3.8/1.2 (BP=0.213, ratio=0.393, hyp_len=26584, ref_len=67703)
iter80000 - BLEU = 2.44, 42.9/11.4/3.9/1.4 (BP=0.343, ratio=0.483, hyp_len=32687, ref_len=67703)
iter81000 - BLEU = 2.30, 41.6/11.0/3.6/1.2 (BP=0.343, ratio=0.483, hyp_len=32684, ref_len=67703)
iter82000 - BLEU = 2.57, 42.9/11.3/3.7/1.2 (BP=0.373, ratio=0.504, hyp_len=34096, ref_len=67703)
iter83000 - BLEU = 1.82, 44.1/12.0/3.9/1.3 (BP=0.252, ratio=0.421, hyp_len=28483, ref_len=67703)
iter84000 - BLEU = 1.93, 44.4/12.0/3.9/1.3 (BP=0.265, ratio=0.430, hyp_len=29085, ref_len=67703)
iter85000 - BLEU = 2.25, 43.8/11.7/3.7/1.3 (BP=0.317, ratio=0.465, hyp_len=31499, ref_len=67703)
iter86000 - BLEU = 2.40, 42.5/11.3/3.6/1.2 (BP=0.355, ratio=0.491, hyp_len=33258, ref_len=67703)
iter87000 - BLEU = 2.31, 44.1/11.7/3.8/1.3 (BP=0.325, ratio=0.471, hyp_len=31876, ref_len=67703)
iter88000 - BLEU = 2.45, 42.2/11.3/3.8/1.3 (BP=0.352, ratio=0.489, hyp_len=33102, ref_len=67703)
iter89000 - BLEU = 1.90, 44.2/11.9/3.8/1.3 (BP=0.267, ratio=0.431, hyp_len=29194, ref_len=67703)
iter90000 - BLEU = 1.69, 43.5/11.5/3.6/1.1 (BP=0.250, ratio=0.419, hyp_len=28387, ref_len=67703)
iter91000 - BLEU = 1.95, 44.3/11.8/3.7/1.3 (BP=0.277, ratio=0.438, hyp_len=29633, ref_len=67703)
iter92000 - BLEU = 2.55, 42.9/11.1/3.6/1.4 (BP=0.367, ratio=0.499, hyp_len=33794, ref_len=67703)
iter93000 - BLEU = 2.44, 42.2/11.2/3.6/1.3 (BP=0.359, ratio=0.494, hyp_len=33432, ref_len=67703)
iter94000 - BLEU = 2.43, 42.7/11.2/3.6/1.3 (BP=0.354, ratio=0.490, hyp_len=33205, ref_len=67703)
iter95000 - BLEU = 1.95, 43.4/11.4/3.8/1.3 (BP=0.277, ratio=0.438, hyp_len=29669, ref_len=67703)
iter96000 - BLEU = 2.17, 42.1/11.0/3.7/1.3 (BP=0.317, ratio=0.465, hyp_len=31512, ref_len=67703)
iter97000 - BLEU = 2.03, 43.7/11.6/3.9/1.3 (BP=0.286, ratio=0.444, hyp_len=30082, ref_len=67703)
iter98000 - BLEU = 2.03, 42.4/11.3/3.9/1.3 (BP=0.287, ratio=0.445, hyp_len=30099, ref_len=67703)
iter99000 - BLEU = 2.06, 39.4/10.3/3.2/1.0 (BP=0.344, ratio=0.484, hyp_len=32760, ref_len=67703)
iter100000 - BLEU = 2.68, 41.6/10.9/3.6/1.2 (BP=0.401, ratio=0.522, hyp_len=35359, ref_len=67703)
iter101000 - BLEU = 2.11, 41.3/10.7/3.6/1.3 (BP=0.314, ratio=0.463, hyp_len=31376, ref_len=67703)
iter102000 - BLEU = 2.31, 43.2/11.5/3.8/1.3 (BP=0.328, ratio=0.473, hyp_len=32005, ref_len=67703)
iter103000 - BLEU = 2.65, 40.7/10.6/3.4/1.2 (BP=0.413, ratio=0.530, hyp_len=35914, ref_len=67703)
iter104000 - BLEU = 2.29, 43.2/11.5/3.9/1.4 (BP=0.319, ratio=0.467, hyp_len=31620, ref_len=67703)
iter105000 - BLEU = 2.24, 41.9/10.7/3.4/1.2 (BP=0.342, ratio=0.483, hyp_len=32677, ref_len=67703)
iter106000 - BLEU = 2.13, 42.3/11.1/3.7/1.3 (BP=0.309, ratio=0.460, hyp_len=31129, ref_len=67703)
iter107000 - BLEU = 2.09, 42.0/10.9/3.6/1.3 (BP=0.311, ratio=0.461, hyp_len=31237, ref_len=67703)
iter108000 - BLEU = 2.33, 43.2/11.5/3.8/1.4 (BP=0.323, ratio=0.470, hyp_len=31805, ref_len=67703)
iter109000 - BLEU = 2.37, 42.7/11.3/3.8/1.4 (BP=0.335, ratio=0.478, hyp_len=32359, ref_len=67703)
iter110000 - BLEU = 2.77, 41.3/10.8/3.6/1.2 (BP=0.415, ratio=0.532, hyp_len=36030, ref_len=67703)
iter111000 - BLEU = 2.16, 43.6/11.3/3.7/1.3 (BP=0.310, ratio=0.461, hyp_len=31180, ref_len=67703)
iter112000 - BLEU = 2.35, 43.4/11.3/3.7/1.2 (BP=0.341, ratio=0.482, hyp_len=32612, ref_len=67703)
iter113000 - BLEU = 2.32, 42.6/10.9/3.6/1.3 (BP=0.342, ratio=0.483, hyp_len=32671, ref_len=67703)
iter114000 - BLEU = 2.33, 40.9/10.5/3.4/1.2 (BP=0.359, ratio=0.494, hyp_len=33461, ref_len=67703)
iter115000 - BLEU = 2.19, 43.0/11.3/3.9/1.4 (BP=0.305, ratio=0.457, hyp_len=30964, ref_len=67703)
iter116000 - BLEU = 2.35, 43.1/11.1/3.7/1.3 (BP=0.337, ratio=0.479, hyp_len=32433, ref_len=67703)
iter117000 - BLEU = 2.27, 42.7/10.9/3.4/1.2 (BP=0.343, ratio=0.483, hyp_len=32706, ref_len=67703)
iter118000 - BLEU = 2.24, 42.7/11.0/3.6/1.3 (BP=0.328, ratio=0.473, hyp_len=32032, ref_len=67703)
iter119000 - BLEU = 2.15, 41.9/10.7/3.3/1.1 (BP=0.336, ratio=0.479, hyp_len=32400, ref_len=67703)
iter120000 - BLEU = 1.98, 43.8/11.4/3.7/1.3 (BP=0.284, ratio=0.443, hyp_len=29988, ref_len=67703)
iter121000 - BLEU = 2.26, 41.1/10.6/3.5/1.2 (BP=0.343, ratio=0.483, hyp_len=32692, ref_len=67703)
iter122000 - BLEU = 2.07, 43.7/11.2/3.8/1.3 (BP=0.298, ratio=0.452, hyp_len=30610, ref_len=67703)
iter123000 - BLEU = 2.33, 43.0/11.0/3.6/1.2 (BP=0.346, ratio=0.485, hyp_len=32858, ref_len=67703)
iter124000 - BLEU = 2.13, 42.6/11.2/3.8/1.4 (BP=0.303, ratio=0.455, hyp_len=30837, ref_len=67703)
iter125000 - BLEU = 2.15, 42.0/10.8/3.8/1.3 (BP=0.310, ratio=0.461, hyp_len=31205, ref_len=67703)
iter126000 - BLEU = 1.91, 40.7/10.5/3.3/1.1 (BP=0.305, ratio=0.457, hyp_len=30947, ref_len=67703)
iter127000 - BLEU = 2.31, 41.4/10.5/3.4/1.2 (BP=0.352, ratio=0.489, hyp_len=33129, ref_len=67703)
iter128000 - BLEU = 2.01, 41.6/10.4/3.4/1.1 (BP=0.316, ratio=0.465, hyp_len=31462, ref_len=67703)
iter129000 - BLEU = 2.21, 42.1/10.5/3.5/1.3 (BP=0.334, ratio=0.477, hyp_len=32299, ref_len=67703)
iter130000 - BLEU = 2.18, 40.3/10.0/3.2/1.1 (BP=0.355, ratio=0.491, hyp_len=33262, ref_len=67703)
iter131000 - BLEU = 2.30, 40.9/10.1/3.3/1.1 (BP=0.371, ratio=0.502, hyp_len=33983, ref_len=67703)
iter132000 - BLEU = 2.28, 39.9/10.0/3.1/1.0 (BP=0.390, ratio=0.515, hyp_len=34854, ref_len=67703)
